날짜,운동종목,제목/코스요약,소요시간(분),운동강도(RPE),이동거리(km),페이스,누적상승고도(m),최고고도(m),수심(m),세부종목명,장소/위치,날씨,착용장비,운동메모
2026-06-27,런닝,유곡~수아 런닝. 대회 출발 전 잠깐 보기,35,6,,,,,,,유곡,맑음,,"유곡~수아 런닝. 대회 출발 전 잠깐 보기
대회하는 걸 full로 보고 싶지만 방법이 없네 (짱구를 좀 굴려보자)
멀리서 마음으로만 응원! 한단계 결과가 올라서 만족. 우승은 다음 기회에
연락이 안되서 궁금한 것도 많았음 ㅎㅎ;"
2026-06-28,등산,"신불산~간월재 등반. 1.6만보, 14km. 255 계단 오르기 수준이라",168,6,14.0,,750,1159,,,신불산~간월재,맑음,,"신불산~간월재 등반. 1.6만보, 14km. 255 계단 오르기 수준이라네. 신불산은 언제 다시 도전 해보려나.,,
젊은 시절 관절, 체력 생각은 버리거라. 나이 듦을 인정하라. 
높은산이건 낮은산이건 항상 힘들다. 산은 산이다.
외롭고 힘든 등산이지만 새벽에 일어나 긴 시간을 보내려면 이 방법 뿐"
2026-06-30,런닝,문수테니스장 런닝. 오늘은 사람이 없네. 6km로 나오는데 그정도는 안뛴,36,6,6.0,"6'00""",,,,,문수테니스장,맑음,,"문수테니스장 런닝. 오늘은 사람이 없네. 6km로 나오는데 그정도는 안뛴거 같은데.
오늘이 화목 새벽 런닝 마지막 day. 이제 필테로 복귀! 수정샘 지발 안다치게 살펴 주셔요
수강신청 잘하자 마!"
2026-07-06,걷기,5km 정도 수아~신정중학교~옥동 걷기. 습도가 높아 땀 줄줄,60,6,5.0,"12'00""",,,,,수아,맑음,,"5km 정도 수아~신정중학교~옥동 걷기. 습도가 높아 땀 줄줄
내일 필테인데 무릎이랑 허리가 좀 나아야 할 긴데."
2026-07-07,프리다이빙,"다리 달달달, Bar 떨어뜨려서 오른쪽 정강이 타격, 호흡 소리 내기",20,6,,,,,,수영/잠영,유곡,맑음,,"다리 달달달, Bar 떨어뜨려서 오른쪽 정강이 타격, 호흡 소리 내기
언제까지 관심 받고 싶은 것이냐
유곡->중구수영장 걷기 ㅋㅋ ㅋㅋㅋㅋㅋㅋㅋㅋ"
2026-07-12,등산,문수산 깔딱고개 전까지 걷기. 다리와 허리가 무거웠던 하루,35,6,,,400,600,,,문수산,맑음,,"문수산 깔딱고개 전까지 걷기. 다리와 허리가 무거웠던 하루
하산 중 마지막에 잘 못 들어가서 다른 동네로 갈뻔...
필테 안가심"
2026-07-13,런닝,수아~신정중학교 슬로우 런닝이후 침대 휴식.,35,6,,,,,,,수아,맑음,,"수아~신정중학교 슬로우 런닝이후 침대 휴식.
다리가 아직 묵직 왜 글치"
2026-07-18,등산,영남알프스-홍류폭포 간단 등반,35,6,,,250,,,,영남알프스,맑음,,"영남알프스-홍류폭포 간단 등반
혼자 갈때는 물이 많드만, 애랑 같이 가니 실폭포였음.
길 여쭤봤던 할배는 거 볼거도 음따 하셨는데 말을 들을거를 ㅋ"
2026-07-19,트레일런닝,유곡테니스장-입화산(204m) 뛰어서 등반 20분 소요. 심장 터질 뻔(,20,9,,,180,204,,,입화산,맑음,,"유곡테니스장-입화산(204m) 뛰어서 등반 20분 소요. 심장 터질 뻔(마지막 깔딱 고개)
KOREA 아저씨는 왕복으로 트레일런닝 하시던데. 대단스"
2026-07-25,프리다이빙,포항 전복 뿔소라 잡이 2일간 실시. 무리해서 허리 삐끗.,35,6,,,,,3.0,해양 채집,포항,맑음,,"포항 전복 뿔소라 잡이 2일간 실시. 무리해서 허리 삐끗.
역시 전복은 한번에 못 잡으면 개고생"
2026-07-28,걷기,문수테니스장 걷기,35,6,,,,,,,문수테니스장,맑음,,문수테니스장 걷기
2026-07-29,런닝,수아 - 신정중학교 런닝. 30분. 땀 범벅,30,8,,,,,,,수아,맑음,,수아 - 신정중학교 런닝. 30분. 땀 범벅
2026-08-04,프리다이빙,수영 12분. 꼴랑 저거에 피곤스,12,6,,,,,,수영/잠영,,맑음,,수영 12분. 꼴랑 저거에 피곤스
2026-08-05,프리다이빙,수영 15분. 꼴랑 저거에 또 피곤스,15,6,,,,,,수영/잠영,,맑음,,수영 15분. 꼴랑 저거에 또 피곤스
2026-08-06,프리다이빙,"평영 100m, 발차기 50m, 자유영 50m, 잠영 100m 연습",35,6,,,,,3.0,수영/잠영,,맑음,,"평영 100m, 발차기 50m, 자유영 50m, 잠영 100m 연습"
2026-08-14,런닝,북구 순환도로 30분 런닝,30,6,,,,,,,북구 순환도로,맑음,,북구 순환도로 30분 런닝
2026-08-17,런닝,태화강 6km. 30분 런닝 후 걷기 총 1hr,90,6,6.0,"15'00""",,,,,태화강,맑음,,태화강 6km. 30분 런닝 후 걷기 총 1hr
2026-08-18,런닝,북부순환도로 30분 런닝,30,6,,,,,,,북부순환도로,맑음,,북부순환도로 30분 런닝
